,Unnamed: 0,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed (MPH),Country,Date
136,136,Tiksi,71.6872,128.8694,16.27,95,100,8.72,RU,1619467469
137,137,Pevek,69.7008,170.3133,18.39,91,97,3.02,RU,1619467423
138,138,Hermanus,-34.4187,19.2345,57.99,89,49,5.61,ZA,1619467392
139,139,Vila Franca do Campo,37.7167,-25.4333,60.8,77,75,8.05,PT,1619467453
140,140,Volokonovka,50.4827,37.8563,39.31,93,100,15.26,RU,1619467663
141,141,Olafsvik,64.8945,-23.7142,42.39,60,0,5.14,IS,1619467664
142,142,Cairns,-16.9167,145.7667,75.2,83,90,11.5,AU,1619467551
143,143,East London,-33.0153,27.9116,72.12,60,100,10.09,ZA,1619467491
144,144,Dingle,10.9995,122.6711,74.86,88,95,6.53,PH,1619467439
145,145,Galveston,29.3669,-94.9669,80.01,65,1,13.8,US,1619467385
146,146,Vila Velha,-20.3297,-40.2925,82.0,78,75,8.05,BR,1619467429
147,147,Atbasar,51.8,68.3333,47.46,97,100,3.09,KZ,1619467665
148,148,Waipawa,-41.4122,175.5153,53.6,76,90,18.41,NZ,1619467665
149,149,Avera,33.194,-82.5271,78.8,36,1,4.61,US,1619467665
150,150,Nara,34.6851,135.8049,48.0,57,100,1.95,JP,1619467666
151,151,Esperance,-33.8667,121.9,64.4,52,100,12.66,AU,1619467480
152,152,Kilakarai,9.2333,78.7833,84.69,73,10,12.03,IN,1619467666
153,153,Clyde River,70.4692,-68.5914,24.8,100,75,2.3,CA,1619467463
154,154,Port Moresby,-9.4431,147.1797,75.2,100,40,3.44,PG,1619467501
155,155,Chhabra,24.6667,76.8333,86.79,7,25,3.85,IN,1619467667
156,156,Iqaluit,63.7506,-68.5145,32.0,86,75,21.85,CA,1619467437
157,157,Lakes Entrance,-37.8811,147.981,48.99,92,9,8.9,AU,1619467504
158,158,Seoul,37.5683,126.9778,51.8,81,0,2.3,KR,1619467391
159,159,Busselton,-33.65,115.3333,57.0,91,100,1.03,AU,1619467387
160,160,Saint-François,46.4154,3.9054,57.2,67,0,2.3,FR,1619467444
161,161,General Roca,-39.0333,-67.5833,71.6,49,0,5.75,AR,1619467669
162,162,Cabo San Lucas,22.8909,-109.9124,79.0,36,75,9.22,MX,1619467401
163,163,Butembo,0.15,29.2833,57.31,91,97,2.44,CD,1619467670
164,164,Riverbank,37.736,-120.9355,62.6,36,20,10.36,US,1619467670
165,165,Zhigansk,66.7697,123.3711,13.1,91,100,16.91,RU,1619467170
166,166,Hobart,-42.8794,147.3294,46.99,87,2,6.02,AU,1619467424
167,167,New Norfolk,-42.7826,147.0587,46.99,84,11,2.8,AU,1619467413
168,168,Hamilton,39.1834,-84.5333,73.99,30,1,8.05,US,1619466981
169,169,Provideniya,64.3833,-173.3,37.4,70,0,4.47,RU,1619467436
170,170,Severo-Kuril'sk,50.6789,156.125,30.49,94,100,23.8,RU,1619467466
171,171,Deori,21.45,82.6167,84.45,13,69,4.59,IN,1619467671
172,172,Keetmanshoop,-26.5833,18.1333,71.6,35,0,8.05,,1619467559
173,173,Berlevåg,70.8578,29.0864,32.0,86,75,14.97,NO,1619467672
174,174,Bubaque,11.2833,-15.8333,78.62,71,10,18.5,GW,1619467672
175,175,Ixtapa,20.7,-105.2,82.4,69,75,13.8,MX,1619467461
176,176,Thompson,55.7435,-97.8558,46.4,49,75,9.22,CA,1619467201
177,177,Kruisfontein,-34.0033,24.7314,62.01,89,66,4.0,ZA,1619467453
178,178,Paciran,-6.8767,112.3761,77.86,81,91,6.96,ID,1619467421
179,179,Yumen,40.2833,97.2,40.5,21,98,7.45,CN,1619467538
180,180,Fort Nelson,58.8053,-122.7002,26.6,74,90,11.5,CA,1619467537
181,181,Lagoa,39.05,-27.9833,61.09,78,98,8.25,PT,1619467421
182,182,Geraldton,-28.7667,114.6,59.0,72,21,9.22,AU,1619467455
183,183,Tuatapere,-46.1333,167.6833,39.99,90,92,1.01,NZ,1619467409
184,184,Baiquan,47.5833,126.0833,54.72,47,100,10.58,CN,1619467674
185,185,Tura,25.5198,90.2201,78.39,28,94,4.0,IN,1619467454
186,186,Tuktoyaktuk,69.4541,-133.0374,8.6,72,1,18.41,CA,1619467393
187,187,Trincomalee,8.5711,81.2335,81.86,76,51,8.77,LK,1619467674
188,188,Ribeira Grande,38.5167,-28.7,60.8,77,75,5.75,PT,1619467440
189,189,Hilo,19.7297,-155.09,73.4,78,90,6.91,US,1619467267
190,190,Swan River,52.1058,-101.2676,53.6,30,33,11.5,CA,1619467675
191,191,Paphos,34.7667,32.4167,64.4,82,75,11.5,CY,1619467449
192,192,Thinadhoo,0.5333,72.9333,82.38,64,32,4.09,MV,1619467675
193,193,Preston,53.7667,-2.7167,54.0,66,0,3.44,GB,1619467581
194,194,Koutsouras,35.0339,25.9469,59.07,62,0,11.14,GR,1619467676
195,195,Ternate,0.8,127.4,80.49,78,12,4.54,ID,1619467676
196,196,Lorengau,-2.0226,147.2712,80.87,76,99,1.92,PG,1619467472
197,197,Sawtell,-30.3833,153.1,53.6,94,2,2.3,AU,1619467677
198,198,Ascension,30.2169,-90.9001,82.0,41,1,9.22,US,1619467677
199,199,Lagos,6.5833,3.75,84.2,79,20,9.22,NG,1619467485
200,200,Metu,8.3,35.5833,58.28,96,100,3.06,ET,1619467678
201,201,Krasnoural'sk,58.3638,60.0407,38.32,72,25,13.18,RU,1619467678
202,202,Antofagasta,-23.65,-70.4,66.2,68,0,11.5,CL,1619467538
203,203,Baghdad,33.3406,44.4009,93.2,17,40,10.36,IQ,1619467679
204,204,Salekhard,66.53,66.6019,33.53,98,100,6.67,RU,1619467540
205,205,Mersing,2.4312,103.8405,75.2,94,51,5.75,MY,1619467679
206,206,Ilulissat,69.2167,-51.1,51.8,40,75,16.11,GL,1619467408
207,207,Port Macquarie,-31.4333,152.9167,54.0,99,4,1.99,AU,1619467277
208,208,Port Lincoln,-34.7333,135.8667,60.21,80,97,4.92,AU,1619467680
209,209,Santander,43.4647,-3.8044,57.99,88,75,2.3,ES,1619467680
210,210,Svecha,58.2785,47.5164,34.63,90,19,9.1,RU,1619467680
211,211,Susa,32.1942,48.2436,87.87,16,94,9.46,IR,1619467681
212,212,Saint Paul Harbor,57.79,-152.4072,44.6,81,90,11.5,US,1619467422
213,213,Nikolskoye,59.7035,30.7861,42.8,75,75,4.47,RU,1619467423
214,214,Itum-Kale,42.7356,45.5758,55.26,90,92,1.16,RU,1619467681
215,215,Vila,42.0304,-8.1588,57.0,85,100,1.99,PT,1619467682
216,216,Akot,21.0964,77.0586,90.72,19,99,6.04,IN,1619467682
217,217,Garissa,-0.4536,39.6401,83.23,65,54,15.32,KE,1619467682
218,218,Klaksvík,62.2266,-6.5889999999999995,41.0,87,75,20.71,FO,1619467357
219,219,City of San Pedro,14.35,121.0167,80.6,74,75,6.91,PH,1619467683
220,220,Atambua,-9.1061,124.8925,67.69,64,77,4.47,ID,1619467683
221,221,Havøysund,70.9963,24.6622,32.0,93,40,3.44,NO,1619467683
222,222,Comodoro Rivadavia,-45.8667,-67.5,68.0,40,0,21.85,AR,1619467499
223,223,Aleksandrovsk,59.158,57.5624,37.0,100,100,1.99,RU,1619467684
224,224,Shangqiu,34.45,115.65,52.74,91,21,7.74,CN,1619467684
225,225,Tautira,-17.7333,-149.15,84.2,70,40,11.5,PF,1619467539
226,226,Port Blair,11.6667,92.75,81.25,77,82,6.02,IN,1619467685
227,227,Tessalit,20.1986,1.0114,94.05,7,15,9.37,ML,1619467685
228,228,Hobyo,5.3505,48.5268,83.75,73,25,9.06,SO,1619467685
229,229,Yabrūd,33.9674,36.6574,57.2,67,0,17.27,SY,1619467686
230,230,Praia da Vitória,38.7333,-27.0667,62.6,82,75,6.13,PT,1619467487
231,231,Tilichiki,60.4667,166.1,29.98,98,100,3.31,RU,1619467543
232,232,Fortuna,40.5982,-124.1573,55.99,76,90,10.36,US,1619467445
233,233,Borinskoye,52.4569,39.3713,45.57,71,100,12.08,RU,1619467687
234,234,Santa Rosa,14.3122,121.1114,80.6,74,75,6.91,PH,1619467480
235,235,Makkah al Mukarramah,21.4267,39.8261,85.44,42,0,3.29,SA,1619467687
236,236,Ahipara,-35.1667,173.1667,58.51,79,10,7.02,NZ,1619467544
237,237,Pangnirtung,66.1451,-65.7125,35.6,87,90,1.5,CA,1619467688
238,238,Yangi Marg`ilon,40.4272,71.7189,64.4,42,0,2.3,UZ,1619467159
239,239,Cabedelo,-6.9811,-34.8339,80.6,83,20,10.36,BR,1619467688
240,240,Suez,29.9737,32.5263,64.11,67,0,13.62,EG,1619467688
241,241,Ugoofaaru,5.6667,73.0,83.28,74,5,5.35,MV,1619467482
242,242,Tocopilla,-22.092,-70.1979,70.27,60,16,5.3,CL,1619467689
243,243,Cleveland,41.4995,-81.6954,57.99,66,1,18.41,US,1619467592
244,244,Champerico,14.3,-91.9167,89.6,66,75,6.91,GT,1619467689
245,245,Mgandu,-5.95,34.1333,61.92,94,88,4.14,TZ,1619467690
246,246,Yenagoa,4.9247,6.2642,80.13,85,18,5.35,NG,1619467690
247,247,St. George's,12.0564,-61.7485,82.4,74,20,23.02,GD,1619467442
248,248,Yerofey Pavlovich,53.9667,121.9667,40.69,95,100,3.51,RU,1619467691
249,249,Linda,39.1277,-121.5508,63.0,39,75,3.44,US,1619467691
